photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation,iso_noise_bin_label,iso_noise_label,DoF_bin,DoF,exposure_label,focal_label_bin,focal_label
yvQgA1IxuIE,,,125,18,4,1/1250,0,0,0,1,1,2,0,0
nMIcYTaUHfQ,NIKON CORPORATION,NIKON D500,160,72,8,1/250,1,0,0,1,2,1,0,1
FDmM7kh5PfY,Canon,Canon EOS 700D,400,50,1.8,1/320,1,0,0,0,0,2,0,1
KOAJOeZwOxA,,,,,,,1,,,,,,,
caKJkQm26T0,Canon,Canon EOS M10,100,40,5.6,1/100,1,0,0,1,1,1,0,1
vnJ3_GNYSWQ,Nikon,D800,,105,,,1,,,,,,1,2
dLgh-IdELuM,NIKON CORPORATION,NIKON D7000,100,50,2.2,1/500,1,0,0,0,0,2,0,1
tFaK2b_DBl4,Canon,Canon EOS 6D,800,24,4,1/250,0,1,1,1,1,1,0,0
ycJHJGRgdmI,NIKON CORPORATION,NIKON D5100,100,50,2.8,1/200,0,0,0,0,0,1,0,1
AaSimXRofiE,Canon,Canon EOS 5D Mark III,50,135,2.8,1/160,1,0,0,0,0,1,1,2
ZNl0QqxOFjk,Hasselblad,L1D-20c,100,10.3,4.5,1/160,0,0,0,1,1,1,0,0
dvrfSfS4qR4,Canon,Canon EOS 5D Mark III,100,135,1.8,1/1250,0,0,0,0,0,2,1,2
fw9cbA1WTi0,SONY,ILCE-7SM2,200,56,2.8,1/1250,1,0,0,0,0,2,0,1
Q9BRSRcY7yM,Nikon,D5500,,,,,0,,,,,,,
mtWegPVdaH4,FUJIFILM,X-T3,400,50,2,1/2000,1,0,0,0,0,2,0,1
xIyq6MJ7G3E,Canon,Canon EOS 5DS,100,70,8,1/200,0,0,0,1,2,1,0,1
0EVL1vLA5SM,NIKON CORPORATION,NIKON D750,640,85,2.2,1/2500,0,1,1,0,0,2,0,1
6jrY2-_PHg0,Canon,Canon EOS 600D,200,50,4,1/1000,1,0,0,1,1,2,0,1
4JLB7Bp8W_w,NIKON CORPORATION,NIKON D7000,100,90,11,1/640,1,0,0,1,2,2,1,2
ev8bOkVvC4I,Canon,Canon EOS 6D,200,105,4,1/100,1,0,0,1,1,1,1,2
9jdlJzl6yN8,Canon,Canon EOS 6D,100,50,7.1,1/1000,1,0,0,1,2,2,0,1
Ti8NogDRMBs,SONY,ILCE-7,100,70,5.6,1/200,1,0,0,1,1,1,0,1
rTha5aFj-Mc,Canon,Canon EOS 5D Mark IV,100,35,8,1/500,0,0,0,1,2,2,0,0
cVGIi-sEFyQ,Hasselblad,L1D-20c,100,10.3,5,1/240,1,0,0,1,1,1,0,0
EcsdAlwpmrw,Canon,Canon EOS 5DS,125,135,5,1/8000,0,0,0,1,1,2,1,2
ZxGdri2EWzk,FUJIFILM,X-T2,200,35,3.6,1/250,0,0,0,1,1,1,0,0
4mA9_5vbZ_s,NIKON CORPORATION,NIKON D300S,200,82,4.2,1/1250,0,0,0,1,1,2,0,1
cUZOenyAZJ4,Canon,Canon EOS 5D Mark II,100,24,6.3,1/160,0,0,0,1,2,1,0,0
567UmWZIYJ8,Canon,Canon EOS 6D Mark II,200,30,5.6,1/400,1,0,0,1,1,2,0,0
8JMZVxSi15Y,Canon,Canon EOS 6D,400,35,1.4,1/100,0,0,0,0,0,1,0,0
nEJ50HJpQRM,Canon,Canon EOS 6D,100,17,8,1/10,1,0,0,1,2,1,0,0
KBHqwZ4z69Y,FujiFilm,X-T3,320,90,2,1/4400,0,0,0,0,0,2,1,2
xp-tY7kTiaA,Canon,Canon EOS 5D Mark II,50,300,5.6,1/125,0,0,0,1,1,1,1,2
w3gsjym40f4,Canon,Canon EOS DIGITAL REBEL,200,33,10,1/160,1,0,0,1,2,1,0,0
gR3oLVM0aqM,SONY,ILCE-7M3,1000,50,2,1/60,0,1,1,0,0,1,0,1
cuIwZaJAFS8,FUJIFILM,X-A1,200,16,4,1/400,0,0,0,1,1,2,0,0
lOM8akd0LAQ,Apple,iPhone X,16,6,2.4,1/979,1,0,0,0,0,2,0,0
8ygYy5-XnBo,FujiFilm,X-T3,320,90,2,1/2000,1,0,0,0,0,2,1,2
Ahw1d-62Rq8,Canon,Canon EOS 6D Mark II,640,50,1.8,1/250,1,1,1,0,0,1,0,1
4vJI1vq0UCk,FUJIFILM,X-T10,1600,44,1,1/1000,1,1,1,0,0,2,0,1
MqJxovuy6qU,Canon,Canon EOS 6D,800,50,2.8,1/200,0,1,1,0,0,1,0,1
OgQLM0TUpB0,FUJIFILM,X-T10,200,18,8,1/125,1,0,0,1,2,1,0,0
yhiZm7vYXaM,NIKON CORPORATION,NIKON D750,100,50,2.5,1/4000,0,0,0,0,0,2,0,1
RYaYV4qnZrQ,SONY,ILCE-7,80,50,1.8,1/6400,0,0,0,0,0,2,0,1
HXkpvbyuyTY,,,,,,,1,,,,,,,
Qm7iDssdb3Y,NIKON CORPORATION,NIKON D850,64,24,10,30,1,0,0,1,2,0,0,0
Oppz-6ZENZ0,Canon,Canon EOS 5D Mark II,400,50,1.4,1/4000,0,0,0,0,0,2,0,1
Z3DEMYKcxPc,NIKON CORPORATION,NIKON D60,400,150,4.5,1/640,1,0,0,1,1,2,1,2
8w02wTykmnQ,NIKON CORPORATION,NIKON D750,320,38,2.8,1/200,1,0,0,0,0,1,0,1
ZwENX5SK6bU,Canon,Canon EOS 6D Mark II,800,85,4,1/250,1,1,1,1,1,1,0,1
NtsCGzQeD7A,SONY,ILCE-7RM2,8000,,,1/160,1,1,2,,,1,,
OZe0e6Hwkkw,Canon,Canon EOS REBEL T3i,100,50,1.8,1/4000,0,0,0,0,0,2,0,1
7d1fFSlA7AA,NIKON CORPORATION,NIKON D750,160,55,2.8,1/320,1,0,0,0,0,2,0,1
1jN9xDnedc8,Canon,EOS 7D Mark II,100,100,14,1/160,1,0,0,1,2,1,1,2
MnsUqyWkfQg,SONY,ILCE-6300,2000,,,30,0,1,2,,,0,,
XYBAncmW4og,Canon,Canon EOS 700D,100,50,4,1/4000,1,0,0,1,1,2,0,1
Z7qSbRSxyw8,Canon,Canon EOS 6D,100,50,11,1/6,0,0,0,1,2,1,0,1
ojCO1tFX8qA,SONY,ILCE-7R,320,70,20,1/50,0,0,0,1,2,1,0,1
Ecxi7m1nap4,Canon,Canon EOS 6D,640,20,5.6,30,1,1,1,1,1,0,0,0
_gRwUCWDf8Y,Canon,Canon EOS 70D,5000,35,2.8,1/1000,1,1,2,0,0,2,0,0
kHqQqhVZZbw,SONY,ILCE-7RM3,1600,15,2.8,8,0,1,1,0,0,0,0,0
b203hfveE-I,SONY,ILCE-7RM2,64,50,13,5,1,0,0,1,2,0,0,1
FCqMgRuB4D4,SONY,ILCE-7M3,200,50,7.1,1/320,0,0,0,1,2,2,0,1
xwiO6w6XEiM,,,,,,,0,,,,,,,
PQ1RuNjtzgY,NIKON CORPORATION,NIKON D7000,6400,70,5.3,1/25,1,1,2,1,1,1,0,1
t8Lg-ZXtKiE,Canon,Canon EOS 6D,50,35,2,2,0,0,0,0,0,0,0,0
lqVe6NdK8bQ,,,,,,,1,,,,,,,
K3q1KVUeGQY,SONY,ILCE-7M2,100,70,10,1/160,1,0,0,1,2,1,0,1
fEHkt3GgCWA,Canon,,1600,400,3.2,1/1000,1,1,1,0,1,2,1,2
KXq1wGn_OXI,Canon,Canon EOS 6D,640,100,2.8,1/320,1,1,1,0,0,2,1,2
bngTyBvAkDM,Hasselblad,L1D-20c,100,10.3,5,1/160,1,0,0,1,1,1,0,0
w05Iy-ol4mY,NIKON CORPORATION,NIKON D7100,400,70,4,1/320,0,0,0,1,1,2,0,1
iiunnSNT-qs,NIKON CORPORATION,NIKON D3100,400,24,4.5,1/1000,0,0,0,1,1,2,0,0
1i2weGC39_s,NIKON CORPORATION,NIKON D3100,3200,35,2.2,1/60,1,1,2,0,0,1,0,0
9bn3OmplMVg,SONY,ILCE-7RM3,100,90,2,1/5000,0,0,0,0,0,2,1,2
WobvAfAcMfE,Canon,Canon EOS Rebel T6i,400,55,4.5,1/1600,1,0,0,1,1,2,0,1
wvuWl2FHTJI,,,,,,,0,,,,,,,
he_GLVSR4sU,Canon,Canon EOS 6D,250,20,4.5,1/1250,1,0,0,1,1,2,0,0
M-ha6BbQwV8,DJI,FC220,100,4.7,2.2,1/100,1,0,0,0,0,1,0,0
pGJ29mWyxWg,SONY,ILCE-7M2,400,28,2.8,1/100,1,0,0,0,0,1,0,0
pkhLNUtniPU,SONY,ILCE-7M3,400,24,4,1/25,1,0,0,1,1,1,0,0
IyYRrp1d0TM,FUJIFILM,X-H1,500,83.3,5.6,1/500,1,1,1,1,1,2,0,1
GfU4i2BhzWQ,Canon,Canon EOS 5D Mark IV,320,600,5.6,1/800,0,0,0,1,1,2,1,2
GJBNrDXwmyg,SONY,ILCE-7RM3,200,90,3.5,1/250,0,0,0,0,1,1,1,2
fkfKa0E1muw,SONY,ILCE-7RM3,500,384,11,1/400,0,1,1,1,2,2,1,2
3DOQuvKF1Qc,SONY,ILCE-6500,100,16,1.4,1/1000,0,0,0,0,0,2,0,0
FwWTH1-O6xI,Nikon,Nikon D750,,,,,1,,,,,,,
asr62h5w66w,Canon,Canon EOS Kiss X8i,100,50,2.8,1/1250,0,0,0,0,0,2,0,1
hB_yapuPaIs,,,,,,,1,,,,,,,
jCho1tNm0BE,Canon,Canon EOS 6D,400,135,2,1/1600,0,0,0,0,0,2,1,2
sHmW616civc,Canon,Canon EOS 6D,400,32,4,1/200,0,0,0,1,1,1,0,0
KMv7cYpgU4g,SONY,DSC-H200,100,4.8,3.2,1/1000,1,0,0,0,1,2,0,0
4J_1bwE8-BY,Canon,Canon EOS 5D Mark IV,640,600,6.3,1/800,0,1,1,1,2,2,1,2
YQN-5gdd-yw,NIKON CORPORATION,NIKON D610,5000,24,3.5,1/100,1,1,2,0,1,1,0,0
D2nNU7CBkeI,NIKON CORPORATION,NIKON D3400,360,46,5.3,1/80,1,0,0,1,1,1,0,1
w1v8XeHnkuI,Canon,Canon EOS REBEL T3i,100,50,4.5,1/320,1,0,0,1,1,2,0,1
v4GtyTEiyFw,Canon,Canon EOS 60D,100,135,7.1,1/320,1,0,0,1,2,2,1,2
BLFJHr4hrfk,SONY,ILCE-7R,100,28,3.5,1/800,1,0,0,0,1,2,0,0
KA9PVuhu9Mk,LEICA CAMERA AG,LEICA CL,100,135,4.5,1/250,1,0,0,1,1,1,1,2
pODpVzUS-yA,Panasonic,DC-GH5,400,58,8,1/500,0,0,0,1,2,2,0,1
8N40-1_A2xU,Canon,Canon EOS 5D Mark III,100,35,3.2,1/400,1,0,0,0,1,2,0,0
ia16k_RM338,Zenit E,Zenit E,,,,,1,,,,,,,
kEeCU9w5phk,Canon,Canon EOS 6D Mark II,100,50,1.8,1/1250,0,0,0,0,0,2,0,1
8LuoGiFK02E,Hasselblad,L1D-20c,,10.3,5.6,1/400,0,,,1,1,2,0,0
dKH-4ml-5I4,Apple,iPhone XS,25,4.2,1.8,1/160,0,0,0,0,0,1,0,0
5mIcH3q7tIk,SONY,ILCE-7M2,1600,70,5.6,1/100,0,1,1,1,1,1,0,1
U_2EmiTI5KI,DJI,FC220,100,4.7,2.2,1/320,0,0,0,0,0,2,0,0
SRoqaeEb7Nk,NIKON CORPORATION,NIKON D810,50,24,3.2,1/400,0,0,0,0,1,2,0,0
Q1iS1aW0KHM,FUJIFILM,X-T3,160,18,5.6,1/200,1,0,0,1,1,1,0,0
Rn1j2Fws7H0,FUJIFILM,X-H1,800,135,5.6,1/250,1,1,1,1,1,1,1,2
RGeCD9pjevk,,,,,,,0,,,,,,,
K2iw3JoxPrc,SONY,ILCE-7M3,160,75,4.5,1/400,0,0,0,1,1,2,0,1
J_I5FfqShJw,"FUJI PHOTO FILM CO., LTD.",SP-3000,,,,,0,,,,,,,
0rPV2_Wr-JE,Canon,Canon EOS-1D X Mark II,100,24,1.4,1/2500,1,0,0,0,0,2,0,0
sGkbB4Ul5hM,Hasselblad,L1D-20c,100,10.3,4,1/100,1,0,0,1,1,1,0,0
I0BAGzq7ljA,NIKON CORPORATION,NIKON D5,250,95,5.6,1/400,1,0,0,1,1,2,1,2
fY1CpT_Ut7k,NIKON CORPORATION,NIKON D7500,800,50,4,1/320,0,1,1,1,1,2,0,1
NYQ1XBrwgcE,DJI,FC220,100,4.7,2.2,1/400,0,0,0,0,0,2,0,0
p184vYrKCEk,Sony,ILCE-7M2,400,50,,160,1,0,0,,,0,0,1
FNLpmjV1rOY,Canon,Canon EOS 5D Mark II,640,88,2.8,1/160,0,1,1,0,0,1,1,2
ar13WJ3PpHk,Canon,Canon EOS REBEL T3,400,50,2.8,1/80,1,0,0,0,0,1,0,1
gGI_UtxcNkk,NIKON CORPORATION,NIKON D810,800,105,3,1/60,1,1,1,0,0,1,1,2
IT2AbBTUtss,Canon,Canon EOS 5D,640,50,1.8,1/4000,0,1,1,0,0,2,0,1
XC6jFL1njDk,SONY,ILCE-6000,,,,,0,,,,,,,
aLa0uC3-4zA,SONY,ILCE-7M3,80,35,1.6,1/400,1,0,0,0,0,2,0,0
EhCQ3jbRZxw,NIKON CORPORATION,NIKON D500,160,30,1.8,1/100,1,0,0,0,0,1,0,0
9tyV63vQoOo,Canon,Canon EOS 6D Mark II,1250,24,4,30,1,1,1,1,1,0,0,0
7kY7pjxfECA,NIKON CORPORATION,NIKON D850,31,50,1.6,1/125,1,0,0,0,0,1,0,1
XOxsVJmCyxk,SONY,ILCE-7M3,50,198,2.8,1/320,1,0,0,0,0,2,1,2
uQDRDqpYJHI,SONY,ILCE-7M3,640,28,7.1,1/1000,0,1,1,1,2,2,0,0
79_ivYIkVfo,Canon,Canon EOS 200D,320,18,22,1/40,1,0,0,1,2,1,0,0
qRQzQX_NoX4,Canon,Canon EOS 80D,320,96,8,1/125,0,0,0,1,2,1,1,2
LDiZP1yLQxg,DJI,FC220,100,4.7,2.2,1/1600,0,0,0,0,0,2,0,0
ZcBZVg03lCU,FUJIFILM,X-T3,500,90,2,1/1600,0,1,1,0,0,2,1,2
CSdcvzCoziM,SONY,ILCE-7M3,50,35,1.4,1/640,0,0,0,0,0,2,0,0
jO3OYLdcxJo,Canon,Canon EOS 7D,100,200,4,1/250,0,0,0,1,1,1,1,2
Y43fZ4dYmVk,SONY,ILCE-6500,100,175,2.8,1/250,0,0,0,0,0,1,1,2
AQx2VH2731k,NIKON CORPORATION,NIKON D7000,250,10.5,2.8,1/500,1,0,0,0,0,2,0,0
nqOUHa1c1Rk,Panasonic,DC-G9,250,25,1.8,1/160,0,0,0,0,0,1,0,0
YEwxD1D9yc4,FUJIFILM,X-T3,160,28.3,3.2,1/105,0,0,0,0,1,1,0,0
CBB8wqIn4aQ,,,,,,,0,,,,,,,
5fJ5gX3mfCc,NIKON,COOLPIX B500,125,52.2,5.7,1/640,1,0,0,1,2,2,0,1
lqxMW8r-qJY,,,,,,,0,,,,,,,
U_9YySNVnt0,Canon,Canon EOS 80D,100,24,2,1/400,0,0,0,0,0,2,0,0
HIV7lMyn_lQ,Canon,Canon EOS 1300D,200,20,3.5,1/1600,0,0,0,0,1,2,0,0
WUydTfaP3t4,,,,,,,1,,,,,,,
fDV3geJ2HwM,NIKON CORPORATION,NIKON D7000,1250,10,3.5,25,1,1,1,0,1,0,0,0
RNM1ULC0LLU,,,,,,,0,,,,,,,
Yd7iCxLTGc8,Hasselblad,500cm,160,,,1/250,0,0,0,,,1,,
u2sYsHbb4YE,Canon,Canon EOS 5D Mark IV,200,50,2.2,1/8000,0,0,0,0,0,2,0,1
23DC5FCKPFM,Canon,Canon EOS 80D,100,18,5.6,1/200,0,0,0,1,1,1,0,0
IJcBIZZYgf0,Canon,Canon EOS 5D Mark II,200,50,2.5,1/1600,0,0,0,0,0,2,0,1
xpRfrTIaSso,Canon,Canon EOS 6D,1000,35,2.2,1/3200,0,1,1,0,0,2,0,0
lPEcDEnboiI,NIKON CORPORATION,NIKON D600,400,400,5.6,1/2000,1,0,0,1,1,2,1,2
bZQ3dkrVi9E,SONY,ILCE-7RM3,4000,200,4,1/500,0,1,2,1,1,2,1,2
h0p5cga_W58,SONY,ILCE-7M3,3200,50,1.8,1/200,0,1,2,0,0,1,0,1
2kotGxwlAIo,SONY,ILCE-7M3,1600,46,4,1/125,1,1,1,1,1,1,0,1
6d_h2uemt3M,SONY,ILCE-9,400,24,4,1/800,0,0,0,1,1,2,0,0
IXEWi9YsS9c,NIKON CORPORATION,NIKON D3100,400,300,10,1/320,1,0,0,1,2,2,1,2
0dmBcIp28Gc,SONY,ILCE-7RM3,4000,200,4,1/500,0,1,2,1,1,2,1,2
XilclTaYy6M,SONY,ILCE-7M2,400,70,5.6,1/640,0,0,0,1,1,2,0,1
h4U410R5oos,Canon,Canon EOS 5DS,100,100,4.5,1/200,1,0,0,1,1,1,1,2
7VNxh3nU2NU,NIKON CORPORATION,NIKON D750,400,15,4.5,1/250,1,0,0,1,1,1,0,0
84V9d6WpyBo,SONY,NEX-7,100,70,14,1/400,1,0,0,1,2,2,0,1
bx9Gz5vXn-s,DJI,FC220,100,4.7,2.2,1/340,1,0,0,0,0,2,0,0
N32V8aUzUDE,Canon,Canon EOS 6D,400,35,9,1/800,1,0,0,1,2,2,0,0
-o3n0pGzjHA,SONY,ILCE-7M3,2000,29,4.5,1/60,0,1,2,1,1,1,0,0
r2AAk-lNxCA,Hasselblad,L1D-20c,100,10.3,3.2,1/200,1,0,0,0,1,1,0,0
ToZ80Om85Ck,Canon,Canon EOS 750D,100,50,3.2,1/60,0,0,0,0,1,1,0,1
W3RU-EptRnM,NIKON CORPORATION,NIKON D800,1000,185,14,1/60,1,1,1,1,2,1,1,2
uG5DYq4Ur04,Canon,Canon EOS 80D,100,50,1.4,1/200,1,0,0,0,0,1,0,1
RadJczno8RA,NIKON CORPORATION,NIKON D850,250,105,6.3,1/8000,1,0,0,1,2,2,1,2
lMSozvjQ_4g,Canon,Canon EOS 6D Mark II,320,24,8,1/500,0,0,0,1,2,2,0,0
wbV4wXJ-kcU,Canon,Canon EOS 80D,320,200,2.8,1/400,1,0,0,0,0,2,1,2
tIUN8a9G0Kw,FUJIFILM,X-T2,200,140,2.8,1/1400,0,0,0,0,0,2,1,2
ppr0o0dX3wk,FUJIFILM,X-T20,250,98.6,7.1,1/60,0,0,0,1,2,1,1,2
0NmTMg7dEA4,NIKON CORPORATION,NIKON D810,2000,400,4,1/800,1,1,2,1,1,2,1,2
KzwQFdkB78E,OLYMPUS CORPORATION,E-M10MarkII,1250,25,2.8,1/125,0,1,1,0,0,1,0,0
NsvzdXtvyio,NIKON CORPORATION,NIKON D7000,200,10.5,2.8,1/1500,1,0,0,0,0,2,0,0
JVHYmKtZYuk,Canon,Canon EOS 6D,100,50,3.2,1/320,0,0,0,0,1,2,0,1
xcBbLTCl_RQ,SONY,ILCE-6000,2500,16,2.8,13,0,1,2,0,0,0,0,0
_88DsHh1F20,NIKON CORPORATION,NIKON D750,200,24,4,1/200,0,0,0,1,1,1,0,0
o1iV6Di2FX0,SONY,ILCE-6000,100,16,6.3,1/250,0,0,0,1,2,1,0,0
c4n-4SSyZ9g,SONY,ILCE-7RM2,1250,24,16,1/200,1,1,1,1,2,1,0,0
yER6L9sRPXM,Canon,Canon EOS 6D,100,32,4,1/500,0,0,0,1,1,2,0,0
haf-Wo-4Qd8,NIKON CORPORATION,NIKON D750,100,42,22,1/15,0,0,0,1,2,1,0,1
xcd2VS8_uEQ,Canon,Canon EOS Rebel T6,100,55,8,1/250,0,0,0,1,2,1,0,1
7vvID1j3MqU,Canon,Canon EOS 600D,500,20,3.5,1/320,0,1,1,0,1,2,0,0
LD8FhvuLiEA,,,,,,,1,,,,,,,
pWXY-5u2zFU,NIKON CORPORATION,NIKON D5100,400,20,6.3,1/1600,1,0,0,1,2,2,0,0
pek1LJUsSvM,DJI,FC2103,100,4.5,2.8,1/120,1,0,0,0,0,1,0,0
WT_nZUfAmBc,"FUJI PHOTO FILM CO., LTD.",SP-3000,,,,,1,,,,,,,
Ca2fFQomOEM,Canon,Canon EOS 5D Mark III,200,50,1.8,1/800,0,0,0,0,0,2,0,1
OgVT4yfpIxk,,,,,,,1,,,,,,,
-QmHJrs5WdE,FUJIFILM,X-T3,160,20.5,3.2,1/2000,0,0,0,0,1,2,0,0
k2DVsB4hTBQ,,,,,,,0,,,,,,,
beraptQwJt0,EPSON,Perfection V600,,,,,1,,,,,,,
OXTGKuG_ymo,FUJIFILM,X100F,250,23,2.8,1/2000,0,0,0,0,0,2,0,0
T-tgZmKFRZU,FUJIFILM,X-T100,640,35,,1/640,1,1,1,,,2,0,0
dPnheC5ObaM,Nikon,D750,,300,8,,0,,,1,2,,1,2
qvdPnivpYso,Canon,Canon EOS 6D Mark II,6400,17,2.8,13,1,1,2,0,0,0,0,0
4QYTLcub_8E,FujiFilm,FujiFilm X-E1,200,55,4.5,1/500,0,0,0,1,1,2,0,1
e0BNPHPJDjg,Canon,Canon EOS 5D Mark III,50,45,1.8,1/15,0,0,0,0,0,1,0,1
q-g4aKdfiIU,Canon,Canon EOS 6D Mark II,400,50,2.8,1/160,0,0,0,0,0,1,0,1
D_2dyzYEPkY,Canon,Canon EOS 600D,1600,60,3.5,1/90,1,1,1,0,1,1,0,1
Vb03m4eY4LM,NIKON CORPORATION,NIKON D3400,12800,85,1.8,1/800,0,1,2,0,0,2,0,1
DPiWUyqyUNE,Apple,iPhone X,40,4,1.8,1/120,0,0,0,0,0,1,0,0
ZIDL2-88SEI,DJI,FC220,100,4.7,2.2,1/1200,1,0,0,0,0,2,0,0
t1_BuMsRRsI,FUJIFILM,X-T3,800,18,1.8,1/160,1,1,1,0,0,1,0,0
a9YthpBvTUU,Canon,Canon EOS 5D Mark III,12800,200,2.8,1/400,1,1,2,0,0,2,1,2
futuJlsL_Q4,DJI,FC2103,100,4.5,2.8,1/140,1,0,0,0,0,1,0,0
FVr_yQpPWtQ,,,,,,,1,,,,,,,
pbkj8NgWBx0,,,,,,,0,,,,,,,
zhuj7EcVgG0,SONY,ILCE-6000,800,55,9,1/400,0,1,1,1,2,2,0,1
vpu9PmFlBiM,Canon,Canon EOS 5D Mark III,125,16,16,0.5,0,0,0,1,2,0,0,0
bBfBM52RuNE,SONY,SLT-A55V,100,60,6.3,1/250,1,0,0,1,2,1,0,1
ds7DVwunWZE,,,,,,,0,,,,,,,
Jzs9SV0gt1k,Canon,Canon EOS 7D,320,27,2.8,1/250,0,0,0,0,0,1,0,0
CQYSg3Hmwrs,,,100,55,3.2,1/1000,1,0,0,0,1,2,0,1
lhPLeHgox9Q,,,,,,,0,,,,,,,
4kVG6WXWl0o,Canon,Canon EOS 550D,200,50,2.2,1/80,0,0,0,0,0,1,0,1
so2exTpURfQ,Canon,Canon EOS 5D Mark III,100,16,16,0.3,0,0,0,1,2,0,0,0
BR7x94Ix4ig,,,,,,,0,,,,,,,
1jG0HbnO_8o,SONY,ILCE-7M3,125,24,3.2,1/3200,0,0,0,0,1,2,0,0
wQSeTEQ16tM,SONY,ILCE-7,100,70,6.3,1/640,1,0,0,1,2,2,0,1
rB-4G58XFt0,Canon,Canon EOS 80D,125,24,1.4,1/2000,0,0,0,0,0,2,0,0
CWUAen2vp-0,SONY,ILCE-6300,100,,,1/160,0,0,0,,,1,,
NYUjk2l9eZE,Canon,Canon EOS 600D,400,55,5.6,1/4000,1,0,0,1,1,2,0,1
a7T0PQol-6E,NIKON CORPORATION,NIKON D7000,200,10.5,2.8,1/500,1,0,0,0,0,2,0,0
6VvZHNT3eI0,NIKON CORPORATION,NIKON D3200,100,35,2.5,1/320,0,0,0,0,0,2,0,0
hPYiwTyEHhU,SONY,ILCE-6500,100,30,2.8,1/250,0,0,0,0,0,1,0,0
ToGwaZKbPT4,SONY,ILCE-6300,3200,,,25,0,1,2,,,0,,
YXwt-vJ3szA,NIKON CORPORATION,NIKON D7000,100,155,8,1/640,1,0,0,1,2,2,1,2
PmwzduXDxjQ,Canon,Canon EOS REBEL T5i,100,16,5.6,1/100,0,0,0,1,1,1,0,0
kibVQq5HMKA,SONY,ILCE-6000,125,50,1.8,1/500,1,0,0,0,0,2,0,1
kFEU8HHcnOo,Canon,Canon EOS Rebel T6,200,55,7.1,1/125,0,0,0,1,2,1,0,1
ZbvHaiUwVfo,SONY,ILCE-7M2,100,50,4.5,1/640,0,0,0,1,1,2,0,1
5tUQrvZCyys,SONY,ILCE-7M3,1000,400,5.6,1/1250,0,1,1,1,1,2,1,2
vnY8Xl4RhD4,Canon,Canon EOS 6D,320,50,1.4,1/400,1,0,0,0,0,2,0,1
kyS8rqn8HdU,Canon,Canon EOS-1D X Mark II,100,47,2.8,1/1000,0,0,0,0,0,2,0,1
s-4i34Z07To,,,,,,,1,,,,,,,
oyVjpgdtnMs,Apple,iPhone XS,25,4.2,1.8,1/280,0,0,0,0,0,2,0,0
_pX9jS9eI4Q,Hasselblad,L1D-20c,100,10.3,5.6,1/160,1,0,0,1,1,1,0,0
HZ4q_qtS2s0,Canon,Canon EOS 5D Mark III,50,45,8,1/350,0,0,0,1,2,2,0,1
IkzHn_bWyr4,Nikon,D750,,300,8,,0,,,1,2,,1,2
pf97TYdQlWM,Canon,Canon EOS 5D Mark III,100,300,5.6,1/640,0,0,0,1,1,2,1,2
Ij2z6f5VtVI,Hasselblad,L1D-20c,100,10.3,7.1,1/1000,1,0,0,1,2,2,0,0
G2VqrlTAIuc,DJI,FC2204,100,4.4,2.8,1/240,1,0,0,0,0,1,0,0
_CSr-_ZICSY,,,,,,,0,,,,,,,
zU-voGnfUVQ,Canon,Canon EOS 6D,100,50,2,1/400,0,0,0,0,0,2,0,1
gHXaANn_wXM,NIKON CORPORATION,NIKON D750,1000,600,6.3,1/90,1,1,1,1,2,1,1,2
kNg-mMYK-fs,FUJIFILM,X-T20,1000,135,8,1/4000,0,1,1,1,2,2,1,2
peFx2NFgUFY,Canon,Canon EOS 5D Mark II,200,50,8,1/400,0,0,0,1,2,2,0,1
X_yDmjSAH4g,DJI,FC330,100,3.6,2.8,1/1100,1,0,0,0,0,2,0,0
_1rpqoEwUtw,Zenit,Zenit,100,,,,0,0,0,,,,,
wvUs06Rtu5E,Canon,Canon EOS 700D,400,18,5.6,1/125,1,0,0,1,1,1,0,0
pyTt2y1kMIU,NIKON CORPORATION,NIKON D3100,100,35,1.8,1/4000,0,0,0,0,0,2,0,0
byq4tkp1nmg,FUJIFILM,X-T2,200,56.3,2.8,1/350,0,0,0,0,0,2,0,1
Omn8DvaCycE,GoPro,HERO7 Black,132,3,2.8,1/640,0,0,0,0,0,2,0,0
is9Uq0eN7aI,,,,,,,0,,,,,,,
DK9FVDXD2cg,SONY,ILCE-7M3,6400,24,1.6,15,1,1,2,0,0,0,0,0
cBdAgq9N-Y8,,,,,,,0,,,,,,,
CkCafqoOlPg,,,,,,,0,,,,,,,
gVpKmdfiHbk,FUJIFILM,X-T10,200,27,5.6,1/340,1,0,0,1,1,2,0,0
OwGwTTC2K7g,Canon,Canon EOS 5D Mark IV,100,50,8,1/60,0,0,0,1,2,1,0,1
ZtReZry0h4I,,,,,,,1,,,,,,,
wIq3cfafZSk,Canon,Canon EOS 80D,800,24,2.8,1/125,0,1,1,0,0,1,0,0
ZDLYDbIeYpw,,,,,,,0,,,,,,,
ZrZSt5DiMJ8,FUJIFILM,X-T1,800,16,2.8,1/550,1,1,1,0,0,2,0,0
eKm1A53Af_g,,,,,,,1,,,,,,,
0Duw1wFCBEA,SONY,ILCE-6000,200,56,1.6,1/320,0,0,0,0,0,2,0,1
-YsaHVjY3vU,,,,,,,0,,,,,,,
DFnbkd_uvuc,Canon,Canon EOS 5D Mark IV,400,,,1/200,1,0,0,,,1,,
